GEO_ID_TEX,GEO_ID_DBL,NAME,Total_Population,Total_Male,Total_Female,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E
1500000US360050067002,360050067002,"Block Group 2, Census Tract 67, Bronx County, New York",2091,1076,1015,74,121,58,35,24,0,0,92,69,144,43,43,116,58,182,17,0,0,0,0,0,0,0,131,127,52,86,0,59,0,19,111,78,81,47,67,47,15,0,0,0,28,0,0,0,67
1500000US360050398001,360050398001,"Block Group 1, Census Tract 398, Bronx County, New York",1450,674,776,0,57,11,23,20,0,53,26,15,41,22,29,79,73,12,24,90,22,10,20,36,0,11,38,66,63,21,10,0,0,0,29,86,11,85,88,43,63,61,44,10,10,37,0,0,11
1500000US360050210016,360050210016,"Block Group 6, Census Tract 210.01, Bronx County, New York",1495,778,717,77,44,21,0,12,0,0,52,64,38,59,69,103,78,61,0,0,0,34,27,0,0,39,164,31,0,0,0,0,0,0,53,88,123,46,1,19,71,40,38,0,0,25,18,0,0
1500000US360050393005,360050393005,"Block Group 5, Census Tract 393, Bronx County, New York",690,189,501,0,0,13,0,0,0,0,0,32,20,0,0,20,0,0,0,0,0,0,9,59,0,36,48,51,62,0,0,0,17,0,0,0,22,16,13,15,0,0,0,0,16,126,12,54,49
1500000US360050218005,360050218005,"Block Group 5, Census Tract 218, Bronx County, New York",484,204,280,0,0,20,0,0,0,0,20,0,0,25,0,0,52,0,19,22,14,13,0,19,0,0,51,20,20,0,0,0,0,16,0,0,21,0,14,23,17,0,0,0,53,0,31,0,14
1500000US360050135002,360050135002,"Block Group 2, Census Tract 135, Bronx County, New York",1463,486,977,41,119,45,21,38,23,0,28,15,12,15,34,25,0,0,0,27,0,0,17,12,14,0,81,42,104,82,45,0,0,0,34,22,131,44,81,74,33,0,54,11,0,69,45,25,0
1500000US360050204002,360050204002,"Block Group 2, Census Tract 204, Bronx County, New York",1048,497,551,102,38,29,15,0,38,0,25,37,10,73,19,15,35,14,18,0,0,7,0,22,0,0,32,56,50,15,16,0,21,0,38,83,24,0,32,41,0,0,19,38,2,40,24,0,20
1500000US360050300001,360050300001,"Block Group 1, Census Tract 300, Bronx County, New York",1289,762,527,0,16,112,16,0,0,0,60,75,164,39,55,78,59,17,32,0,0,0,9,11,19,0,170,0,30,0,0,0,0,0,0,78,38,0,39,51,0,20,33,11,33,10,14,0,0
1500000US360050415005,360050415005,"Block Group 5, Census Tract 415, Bronx County, New York",1866,947,919,56,86,0,66,14,0,0,126,125,53,172,67,50,49,23,12,0,0,0,0,0,48,0,85,54,89,0,0,58,0,50,13,110,0,98,105,97,20,51,0,0,22,67,0,0,0
1500000US360050224041,360050224041,"Block Group 1, Census Tract 224.04, Bronx County, New York",918,394,524,0,19,13,0,0,0,0,27,110,58,16,42,8,39,42,4,11,0,0,5,0,0,0,31,0,51,59,29,0,0,30,42,44,76,36,7,7,28,34,24,0,5,0,10,0,11
